,Nombre,,Ciudad
BC,British Columbia ,A,"""Abbotsford"", ""Agassiz"", ""Aiyansh"", ""Alert Bay"", ""Alexis Creek"", ""Alkali Lake"", ""Altona"", ""Anmore"", ""Armstrong"", ""Arras"", ""Ashcroft"", ""Atlin"""
,,B,"""Baldonnel"", ""Bamfield"", ""Barriere"", ""Belcarra"", ""Bella Coola"", ""Black Creek"", ""Bowen Island"", ""Bowser"", ""Britannia Beach"", ""Buick"", ""Burnaby"", ""Burns Lake"""
,,C,"""Cache Creek"", ""Campbell River"", ""Canal Flats"", ""Castlegar"", ""Cawston"", ""Cecil Lake"", ""Cedar"", ""Charlie Lake"", ""Chase"", ""Chemainus"", ""Chetwynd"", ""Chilliwack"", ""Clayhurst"", ""Clearbrook"", ""Clearwater"", ""Clinton"", ""Coldstream"", ""Colwood"", ""Comox"", ""Coombs"", ""Coquitlam"", ""Courtenay"", ""Cowichan Bay"", ""Cranbrook"", ""Creston"", ""Crofton"", ""Cumberland"" "
,,D,"""Dawson Creek"", ""Dease Lake"", ""Delta"", ""Duncan"""
,,E,"""Elkford"", ""Enderby"", ""Errington"", ""Esquimalt"""
,,F,"""Fanny Bay"", ""Farmington"", ""Fernie"", ""Field"", ""Fort Fraser"", ""Fort Nelson"", ""Fort Saint James"", ""Fort Saint John"", ""Fraser Lake"", ""Fruitvale"""
,,G,"""Gibsons"", ""Gold River"", ""Golden"", ""Goodlow"", ""Grand Forks"", ""Granisle"", ""Greenwood"", ""Groundbirch"""
,,H,"""Harrison Hot Springs"", ""Hazelton"", ""Heriot Bay"", ""Holberg"", ""Hope"", ""Houston"", ""Hudson Hope"", ""Hudson's Hope"""
,,I,"""Invermere""
"
,,J,"""Jordan River"""
,,K,"""Kamloops"", ""Kaslo"", ""Kelowna"", ""Keremeos"", ""Kimberley"", ""Kimberly"", ""Kitimat"""
,,L,"""Lac le Jeune"", ""Ladner"", ""Ladysmith"", ""Lake Country"", ""Lake Cowichan"", ""Langford"", ""Langley"", ""Lantzville"", ""Lillooet"", ""Lions Bay"", ""Logan Lake"", ""Lumby"", ""Lund"", ""Lytton"""
,,M,"""Mac Kenzie"", ""Mackenzie"", ""Madeira Park"", ""Mansons Landing"", ""Maple Ridge"", ""Masset"", ""Matsqui"", ""McBride"", ""Merritt"", ""Metchosin"", ""Midway"", ""Mission"", ""Moberly Lake"", ""Montney"", ""Montrose"", ""Moyie"""
,,N,"""Nakusp"", ""Nanaimo"", ""Naramata"", ""Nelson"", ""New Aiyansh"", ""New Denver"", ""New Hazelton"", ""New Westminster"", ""North Pine"", ""North Saanich"", ""North Vancouver"""
,,O,"""Oak Bay"", ""Ocean Falls"", ""Okanagan Falls"", ""Oliver"", ""Osoyoos"", ""Oyama"""
,,P,"""Parksville"", ""Peachland"", ""Pemberton"", ""Penticton"", ""Pink Mountain"", ""Pitt Meadows"", ""Pleasant Camp"", ""Port Alberni"", ""Port Alice"", ""Port Clements"", ""Port Coquitlam"", ""Port Edward"", ""Port Hardy"", ""Port Mcneil"", ""Port Mellon"", ""Port Moody"", ""Port Renfrew"", ""Pouce Coupe"", ""Powell River"", ""Prespatou"", ""Prince George"", ""Prince Rupert"", ""Princeton"", ""Progress"""
,,Q,"""Qualicum"", ""Qualicum Beach"", ""Quathiaski Cove"", ""Quatsino"", ""Queen Charlotte City"", ""Quesnel"""
,,R,"""Radium Hot Springs"", ""Revelstoke"", ""Richmond"", ""Roberts Creek"", ""Robson"", ""Rock Creek"", ""Rolla"", ""Rose Prairie"", ""Rosedale"", ""Rossland"", ""Royston"""
,,S,"""Saanich"", ""Saanichton"", ""Salmo"", ""Salmon Arm"", ""Salt Spring Island"", ""Sandspit"", ""Sardis"", ""Sayward"", ""Sechelt"", ""Seventy Mile House"", ""Sicamous"", ""Sidney"", ""Silverton"", ""Skidegate"", ""Slocan"", ""Smithers"", ""Sointula"", ""Sooke"", ""Sparwood"", ""Squamish"", ""Stewart"", ""Summerland"", ""Sunset Prairie"", ""Surrey"""
,,T,"""Tahsis"", ""Taylor"", ""Telkwa"", ""Terrace"", ""Tofino"", ""Tomslake"", ""Trail"", ""Tsawwassen"", ""Tumbler Ridge"""
,,U,"""Ucluelet"", ""Union Bay"""
,,V,"""Valemount"", ""Vancouver"", ""Vanderhoof"", ""Vavenby"", ""Vemon"", ""Vernon"", ""Victoria"", ""View Royal"""
,,W,"""Walnut Grove"", ""Warfield"", ""Wasa"", ""Wells"", ""West Vancouver"", ""Westbank"", ""Whaletown"", ""Whistler"", ""White Rock"", ""Williams Lake"", ""Wonowon"""
,,Y,"""Yahk"", ""Youbou"""
,,Z,"""Zeballos"""
,,0-9,"""100 Mile House"""